index, T_sto_HT [K], T_sto_LT [K], glide [K], W_dot_exp [W], p_ev [Pa], p_cd [Pa], rp_exp [-], Q_dot_cd [W], Q_dot_ev [W], eta_ORC [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], T_tap [K], Nb_exp [-], m_dot_r [kg/s]
109,60.0,346.15,13.0,265.1225641347685,299069.0066216893,114620.19926340303,2.6092172980297614,14407.771373676098,14780.58312655584,0.017937219517302434,0.2651112345595915,0.27185835427054805,20.0,1.0,0.06666416397020887
110,60.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
111,60.0,346.15,13.0,775.2325341968161,298000.1616765088,114618.4352250193,2.599932210655937,43073.155338980454,44389.06913080525,0.01746449180793517,0.7925706961978674,0.8164454120772074,20.0,3.0,0.19930237528639033
112,60.0,348.15,15.0,167.72704971004703,283537.93858911394,114588.63571315614,2.4743984150302647,13681.814349611885,13970.588633402116,0.01200572532133903,0.21820253778254142,0.222716493151889,20.0,1.0,0.06332030301752045
113,60.0,348.15,15.0,324.56269443934264,282675.44091089047,114590.56484774043,2.466829981041536,27283.24849846825,27945.976985364494,0.01161393264616651,0.4351231429687074,0.44550950251321686,20.0,2.0,0.12626904496706426
114,60.0,348.15,15.0,482.3722692106142,282390.9040296109,114563.78765265689,2.464922902914007,40884.29009536633,41920.93570380883,0.011506715227417672,0.65203748759386,0.6682956627379055,20.0,3.0,0.1892197059384806
115,60.0,350.15,17.0,70.72690056527267,268089.05224188766,114580.64590395978,2.3397411502340186,12962.926500600874,13167.16969398845,0.005371458119626382,0.18242727843684808,0.18522742380605264,20.0,1.0,0.059991140676821306
116,60.0,350.15,17.0,130.44134039595053,267186.50272999215,114566.17985344619,2.332158609737873,25841.76645778641,26322.649998592846,0.0049554790419248694,0.36367120685873533,0.3702904086679894,20.0,2.0,0.1195930852132351
117,60.0,350.15,17.0,190.16817834708905,266888.1606761823,114562.4088780505,2.3296311878382348,38720.99328175898,39477.66699793068,0.004817107818378861,0.5449205796573282,0.5553468760441677,20.0,3.0,0.17919664332370844
118,60.0,352.15,19.0,-27.379433993912244,252535.9325961038,114626.4600091357,2.203120750444328,12242.721632157656,12361.639216986347,-0.002214870820391658,0.15416441079071697,0.15560209063635888,20.0,1.0,0.05663588355477013
119,60.0,352.15,19.0,-65.08850578734757,251608.1870731167,114568.03273338749,2.19614652595665,24398.52928988281,24697.369185003212,-0.00263544288056684,0.30723437199249026,0.31087804869145547,20.0,2.0,0.11287124119090106
120,60.0,352.15,19.0,-104.3628842013324,251334.45828183062,114615.29497931075,2.192852693239581,36561.20574225005,37037.18480520114,-0.002817786631198727,0.46039082733426423,0.46620543487916677,20.0,3.0,0.16912956645149752
121,65.0,339.15,1.0,562.0696774870341,378484.13819899515,132984.2680693362,2.846082049356836,17954.665918592647,18586.947834616425,0.030240020173738946,4.291879022093878,4.4393616552845945,20.0,1.0,0.08373125680293957
